Parcel_ID|Municipality|Property_Address|Alternate_ID|School_District|Neighborhood_Code|Tax_Code|Recording_Date|Owner_Code|Sale_Price|State_Code|Deed_Book|Use_Code|Deed_Page|Homestead|Abatement|Farmstead|Lot_Area|Land_Value_2013_Mkt|Land_Value_2013_Reval|Building_Value_2013_Mkt|Building_Value_2013_Reval|Total_Value_2013_Mkt|Total_Value_2013_Reval
0099-S-00322-0000-00|926 MT. LEBANON|332 MCCULLY ST||Mt Lebanon|92613|Taxable|7/6/2004|Regular|147000|Residential|12108|SINGLE FAMILY|403|Yes|No|No|5,535 SQFT|30400|65100|85600|87500|116000|152600
0099-S-00324-0000-00|926 MT. LEBANON|338 MCCULLY ST||Mt Lebanon|92613|Taxable|4/28/1972|Regular|0|Residential||SINGLE FAMILY|0|Yes|No|No|5,429 SQFT|30300|65100|72500|104200|102800|169300
0099-S-00328-0000-00|926 MT. LEBANON|31 E MARLIN DR||Mt Lebanon|92613|Taxable|5/21/2007|Regular|183000|Residential|13242|SINGLE FAMILY|72|No|No|No|6,250 SQFT|30800|65200|78800|93700|109600|158900
0099-S-00332-0000-00|926 MT. LEBANON|400 MCCULLY ST||Mt Lebanon|92613|Taxable|2/24/1986|Regular|0|Residential|7249|SINGLE FAMILY|67|Yes|Yes|No|6,203 SQFT|30800|65200|90000|127700|120800|192900
0099-S-00334-0000-00|926 MT. LEBANON|404 MCCULLY ST||Mt Lebanon|92613|Taxable|9/26/1997|Regular|1|Residential|10043|SINGLE FAMILY|91|No|No|No|6,150 SQFT|30700|65200|157600|145500|188300|210700
0099-S-00336-0000-00|||||||||||||||||||||||
0099-S-00338-0000-00|926 MT. LEBANON|410 MCCULLY ST||Mt Lebanon|92613|Taxable|3/21/2011|Regular|249000|Residential|14532|SINGLE FAMILY|303|Yes|No|No|5,900 SQFT|30600|65100|99000|99900|129600|165000
0099-S-00340-0000-00|926 MT. LEBANON|416 MCCULLY ST||Mt Lebanon|92613|Taxable|4/19/1994|Regular|1|Residential|9197|SINGLE FAMILY|439|Yes|No|No|5,175 SQFT|30100|65000|105100|163500|135200|228500
0099-S-00342-0000-00|926 MT. LEBANON|418 MCCULLY ST||Mt Lebanon|92613|Taxable|4/25/2000|Regular|117500|Residential|10745|SINGLE FAMILY|520|Yes|No|No|5,016 SQFT|29800|65000|85600|116700|115400|181700
0099-S-00346-0000-00|926 MT. LEBANON|30 MARLIN DR||Mt Lebanon|92613|Taxable|12/18/2008|Regular|103000|Residential|13815|SINGLE FAMILY|302|Yes|No|No|5,625 SQFT|28900|65100|77100|110100|106000|175200
0099-S-00348-0000-00|926 MT. LEBANON|36 W MARLIN DR||Mt Lebanon|92613|Taxable|11/30/1971|Regular|0|Residential||SINGLE FAMILY|0|Yes|No|No|6,250 SQFT|30800|65200|92600|117800|123400|183000
0099-S-00350-0000-00|926 MT. LEBANON|38 W MARLIN DR||Mt Lebanon|92613|Taxable|9/14/1989|Regular|89000|Residential|8098|SINGLE FAMILY|114|Yes|No|No|6,250 SQFT|30800|65200|135300|107600|166100|172800
0100-D-00200-0000-00|926 MT. LEBANON|1721 COCHRAN RD||Mt Lebanon|926C4|Taxable|3/12/2007|Corporation|3020000|Commercial|13170|OFFICE - 1-2 STORIES|149|No|No|No|3.5000 Acres|739900|1239800|736100|1524400|1476000|2764200
0100-H-00220-0000-00|926 MT. LEBANON|728 PINETREE RD||Mt Lebanon|92611|Taxable|7/12/1979|Regular|86000|Residential||SINGLE FAMILY|0|Yes|No|No|13,395 SQFT|60000|160500|140000|174700|200000|335200
0100-H-00222-0000-00|926 MT. LEBANON|732 PINETREE RD||Mt Lebanon|92611|Taxable|12/2/1994|Regular|185000|Residential|9359|SINGLE FAMILY|246|Yes|No|No|11,570 SQFT|80000|157100|200000|240000|280000|397100
0100-H-00224-0000-00|926 MT. LEBANON|736 PINETREE RD||Mt Lebanon|92611|Taxable|3/27/1987|Regular|80100|Residential|7516|SINGLE FAMILY|451|No|No|No|11,520 SQFT|57000|156800|148000|183400|205000|340200
0100-H-00260-0000-00|926 MT. LEBANON|744 PINETREE RD||Mt Lebanon|92611|Taxable|6/11/1959|Regular|0|Residential||SINGLE FAMILY|0|Yes|No|No|12,225 SQFT|69900|160000|135100|143700|205000|303700
0100-H-00296-0000-00|926 MT. LEBANON|PINETREE RD||Mt Lebanon|92611|Taxable|3/24/2005|Regular|140000|Residential|12387|VACANT LAND|498|No|No|No|21,703 SQFT|87900|163600|0|0|87900|163600
0100-H-00298-0000-00|926 MT. LEBANON|PINETREE RD||Mt Lebanon|92611|Taxable|3/24/2005|Regular|140000|Residential|12387|VACANT LAND|498|No|No|No|17,910 SQFT|83900|162200|0|0|83900|162200
0100-H-00300-0000-00|926 MT. LEBANON|748 PINETREE RD||Mt Lebanon|92611|Taxable|11/7/1986|Regular|245000|Residential|7426|SINGLE FAMILY|94|Yes|No|No|3.0300 Acres|156500|160400|533400|869700|689900|1030100
0100-H-00302-0000-00|926 MT. LEBANON|752 PINETREE RD||Mt Lebanon|92611|Taxable|6/6/1995|Regular|215000|Residential|9471|SINGLE FAMILY|634|Yes|No|No|12,600 SQFT|85000|160200|173500|211000|258500|371200
0100-H-00307-0000-00|926 MT. LEBANON|756 PINETREE RD||Mt Lebanon|92611|Taxable|8/26/1965|Regular|0|Residential||SINGLE FAMILY|0|Yes|No|No|12,600 SQFT|72000|160200|178000|219500|250000|379700
0100-H-00309-0000-00|926 MT. LEBANON|760 PINETREE RD||Mt Lebanon|92611|Taxable|6/3/2003|Regular|275000|Residential|11662|SINGLE FAMILY|597|Yes|No|No|12,600 SQFT|85000|160200|190000|236800|275000|397000
0100-H-00314-0000-00|926 MT. LEBANON|755 PINETREE RD||Mt Lebanon|92611|Taxable|1/9/1990|Regular|256000|Residential|8171|SINGLE FAMILY|345|Yes|No|No|14,306 SQFT|80900|160800|283400|253800|364300|414600
