# Source: Pittsburgh Neighborhood and Community Information System at the University Center for Social and Urban Research
# http://www.ucsur.pitt.edu/thepub.php?pl=370
# http://surveyweb1.ucsur.pitt.edu/files/thepub/000089/Sales1011.zip
#
# Transformations:
# (1) removed non-Mt. Lebanon properties
# (2) removed columns that didn't contain quantitative or categorical info
#     (e.g., personally identifying information)
"MAPBLOLOT","PROPERTYZIP","SALEDATE","SALEPRICE","MUNICODE","X","Y","YEARBUILT","TOTALROOMS","BEDROOMS","FULLBATHS","HALFBATHS","STYLE_DESC","STORIES","FINISHEDLI"
"0099L00274000000",15216,"04-Aug-11",1,926,1326294.43794672,393066.236543566,1929,8,4,3,1,"OLD STYLE",2,2336
"0099M00070000000",15216,"13-May-11",159900,926,1327829.68791197,392259.223657817,1938,7,4,1,0,"OLD STYLE",2,1352
"0099M00240000000",15216,"12-Oct-11",231000,926,1327441.87541325,392622.351310879,1925,6,3,1,0,"OLD STYLE",2,1331
"0099M00272000000",15216,"23-Jun-11",208500,926,1327037.93798777,392741.653446585,1929,8,4,3,0,"OLD STYLE",2,2476
"0099M00308000000",15216,"20-Apr-11",180000,926,1326902.37119173,392912.566538274,1930,6,3,1,1,"OLD STYLE",2,1384
"0099M00332000000",15216,"16-Aug-11",439900,926,1326918.25039682,393056.406707212,1929,7,3,2,1,"OLD STYLE",2,2346
"0099N00058000000",15243,"30-Dec-11",1,926,1324367.25038423,392237.771012098,1959,8,4,3,1,"COLONIAL",2,2619
"0099N00070000000",15243,"02-Aug-11",212000,926,1324150.87122059,392178.767848492,1972,8,3,2,1,"CONVENTIONAL",2,2097
"0099N00096000000",15243,"20-May-11",272000,926,1323704.93788718,392021.739097595,1964,8,4,2,1,"COLONIAL",2,2214
"0099N00198000000",15243,"26-Sep-11",1,926,1324376.0587399,391999.843493491,1964,8,3,2,1,"COLONIAL",2,2599
"0099N00230000000",15243,"14-Sep-11",347500,926,1323665.87541498,391756.660304576,1960,10,4,2,1,"COLONIAL",2,2823
"0099P00038000000",15243,"12-Dec-11",1,926,1324575.62546033,392079.179106817,1965,10,5,3,1,"CONTEMPORARY",2,2295
"0099P00056000000",15243,"01-Jul-11",1,926,1324602.50046757,391688.940130904,1960,9,4,3,1,"RANCH",2,3722
"0099R00268000000",15243,"07-Mar-11",150000,926,1326446.43793678,392011.92991583,1930,6,3,1,0,"BUNGALOW",1.5,1898
"0099R00296000000",15243,"31-May-11",315000,926,1326329.37541737,392090.906449705,1937,7,3,1,1,"OLD STYLE",2,2267
"0099R00338000000",15243,"02-Sep-11",1,926,1326158.12535535,392192.267509803,1929,7,3,2,1,"OLD STYLE",2,2110
"0099R00342000000",15243,"20-Oct-11",265000,926,1326252.43786907,392226.897004128,1933,7,3,2,0,"OLD STYLE",2,1774
"0099S00038000000",15216,"07-Apr-11",232500,926,1327187.43373078,392065.715518296,1930,6,3,1,1,"OLD STYLE",2,1908
"0099R00176000000",15243,"15-Dec-11",106199,926,1326096.12533771,391724.554936126,1940,6,3,1,1,"OLD STYLE",2,1350
"0099R00221000000",15243,"12-Apr-11",1,926,1326297.3087399,391542.876442716,1934,6,3,1,0,"OLD STYLE",2,1595
