PIN,MAPBLOCKLO,PROPERTYHO,PROPERTY_1,PROPERTYZI,FAIRMARKET,FAIRMARK_1,TAXDESC,OWNERDESC,STATEDESC,USEDESC,LOTAREA
0142D00178000000,142-D-178,1,ALTOONA PL,15228,679700,276900,Taxable,Corporation,Commercial,RETL/APT'S OVER,49605
0142D00232000000,142-D-232,313,ALTOONA PL,15228,35400,24600,Taxable,Regular,Residential,ROWHOUSE,3720
0142D00298000000,142-D-298,529,NAVATO PL,15228,107200,29800,Taxable,Regular,Residential,ROWHOUSE,4998
0142C00188000000,142-C-188,424,SERRANO AVE,15243,91000,25000,Taxable,Regular,Residential,SINGLE FAMILY,6497
0142D00300000000,142-D-300,533,NAVATO PL,15228,66500,24800,Taxable,Regular,Residential,ROWHOUSE,2400
0142C00196000000,142-C-196,621,BOWER HILL RD,15243,98300,28100,Taxable,Regular,Residential,SINGLE FAMILY,6966
0142C00206000000,142-C-206,658,BOWER HILL RD,15243,89900,34000,Taxable,Regular,Residential,SINGLE FAMILY,17804
0142D00234000000,142-D-234,315,ALTOONA PL,15228,86100,30700,Taxable,Regular,Residential,SINGLE FAMILY,6056
0142D00248000000,142-D-248,458,SERRANO AVE,15243,84100,24900,Taxable,Regular,Residential,SINGLE FAMILY,6824
0142D00258000000,142-D-258,452,COCHRAN RD,15228,336200,66400,Taxable,Corporation,Commercial,SMALL DETACHED RET(UNDER 10000,9400
0142D00286000000,142-D-286,427,COCHRAN RD,15228,66200,43800,Taxable,Regular,Commercial,OFFICE - 1-2 STORIES,5635
0142D00294000000,142-D-294,530,NAVATO PL,15228,101800,25800,Taxable,Regular,Residential,SINGLE FAMILY,5500
0142D00238000000,142-D-238,323,ALTOONA PL,15228,54200,20300,Taxable,Corporation,Residential,ROWHOUSE,2646
0142D00282000000,142-D-282,460,COCHRAN RD,15228,380300,53500,Taxable,Regular,Commercial,OFFICE - 1-2 STORIES,7257
0142D00288000000,142-D-288,429,COCHRAN RD,15228,138800,42300,Taxable,Regular,Commercial,MEDICAL CLINICS/OFFICES,5385
0142D00134000000,142-D-134,207,ALTOONA PL,15228,85500,22000,Taxable,Regular,Residential,SINGLE FAMILY,5003
0142C00300000000,142-C-300,700,BOWER HILL RD,15243,13827100,4277100,Exempt,Corporation,Commercial,CHARITABLE EXEMPTION/HOS/HOMES,623648
0142D00008000000,142-D-8,454,MARLIN DR,15228,69200,30300,Taxable,Regular,Residential,SINGLE FAMILY,5400
0142C00192000000,142-C-192,416,SERRANO AVE,15243,158300,30400,Taxable,Regular,Residential,SINGLE FAMILY,14591
0142D00026000000,142-D-26,479,MAPLETON AVE,15228,55300,27800,Taxable,Regular,Residential,SINGLE FAMILY,6480
0142C00198000000,142-C-198,615,BOWER HILL RD,15243,105400,27700,Taxable,Regular,Residential,SINGLE FAMILY,6250
0252H00122000000,252-H-122,127,SEMINOLE DR,15228,113600,68400,Taxable,Regular,Residential,SINGLE FAMILY,6048
0252H00124000000,252-H-124,123,SEMINOLE DR,15228,99600,68600,Taxable,Regular,Residential,SINGLE FAMILY,6399
0252H00144000000,252-H-144,134,MOHAWK DR,15228,105500,68200,Taxable,Regular,Residential,SINGLE FAMILY,5814
0142D00018000000,142-D-18,459,MAPLETON AVE,15228,69700,27300,Taxable,Regular,Residential,SINGLE FAMILY,5400
0142D00024000000,142-D-24,473,MAPLETON AVE,15228,76600,27300,Taxable,Regular,Residential,SINGLE FAMILY,5400
0142D00306000000,142-D-306,541,NAVATO PL,15228,131100,33100,Taxable,Regular,Residential,TWO FAMILY,10156
0142C00186000000,142-C-186,428,SERRANO AVE,15243,132700,30900,Taxable,Regular,Residential,SINGLE FAMILY,6475
0142C00216000000,142-C-216,676,BOWER HILL RD,15243,46000,29300,Taxable,Regular,Residential,SINGLE FAMILY,9162
0142D00048000000,142-D-48,218,ACADEMY AVE,15228,109600,30400,Taxable,Regular,Residential,TWO FAMILY,5670
0252H00160000000,252-H-160,160,MOHAWK DR,15228,242500,76200,Taxable,Regular,Residential,SINGLE FAMILY,14000
0142D00016000000,142-D-16,451,MAPLETON AVE,15228,76500,27300,Taxable,Regular,Residential,SINGLE FAMILY,5400
0252H00178000000,252-H-178,19,CHEROKEE PL,15228,61600,60000,Taxable,Regular,Residential,SINGLE FAMILY,9250
0142D00046000000,142-D-46,224 -226,ACADEMY AVE,15228,106100,31100,Taxable,Regular,Residential,ROWHOUSE,6750
0252H00192000000,252-H-192,110,ORDALE BLVD,15228,329700,79800,Taxable,Regular,Residential,SINGLE FAMILY,16721
0252H00226000000,252-H-226,111,MOHAWK DR,15228,64100,59000,Taxable,Regular,Residential,SINGLE FAMILY,7500
0142D00152000000,142-D-152,495,MARIETTA PL,15228,140400,32000,Taxable,Regular,Residential,ROWHOUSE,8215
0142D00214000000,142-D-214,331,COCHRAN RD,15228,198100,216600,Taxable,Regular,Commercial,COMMERCIAL GARAGE,22397
0142D00230000000,142-D-230,311,ALTOONA PL,15228,35300,24800,Taxable,Regular,Residential,ROWHOUSE,3840
