Parcel_ID|Municipality|Property_Address|School_District|Neighborhood_Code|Tax_Code|Recording_Date|Owner_Code|Sale_Price|State_Code|Deed_Book|Use_Code|Deed_Page|Homestead|Abatement|Farmstead|Lot_Area|Land_Value_2012_Mkt|Land_Value_2012_Cty|Building_Value_2012_Mkt|Building_Value_2012_Cty|Total_Value_2012_Mkt|Total_Value_2012_Cty
0063-J-00040-0000-00|926 MT. LEBANON|130 MORRISON DR|Mt Lebanon|92612|Taxable|7/7/1975|Regular|45000|Residential||SINGLE FAMILY|0|Yes|No|No|8,342 SQFT|29500|29500|112500|97500|142000|127000
0063-J-00042-0000-00|926 MT. LEBANON|134 MORRISON DR|Mt Lebanon|92612|Taxable|2/4/1977|Regular|60500|Residential||SINGLE FAMILY|0|Yes|No|No|7,355 SQFT|40900|40900|109100|94100|150000|135000
0063-J-00044-0000-00|926 MT. LEBANON|123 MORRISON DR|Mt Lebanon|92612|Taxable|7/28/2000|Regular|167500|Residential|10825|SINGLE FAMILY|621|Yes|No|No|9,063 SQFT|50300|50300|126100|111100|176400|161400
0063-J-00046-0000-00|926 MT. LEBANON|119 MORRISON DR|Mt Lebanon|92612|Taxable|9/5/2006|Regular|199000|Residential|12980|SINGLE FAMILY|68|Yes|No|No|5,952 SQFT|47300|47300|129700|114700|177000|162000
0063-J-00048-0000-00|926 MT. LEBANON|115 MORRISON DR|Mt Lebanon|92612|Taxable|9/11/2000|Regular|185000|Residential|10863|SINGLE FAMILY|85|Yes|No|No|8,757 SQFT|49800|49800|140200|125200|190000|175000
0063-J-00066-0000-00|926 MT. LEBANON|1751 HELEN DR|Mt Lebanon|92612|Taxable|1/9/1987|Regular|1|Residential|7474|SINGLE FAMILY|479|Yes|No|No|12,121 SQFT|55100|55100|111400|96400|166500|151500
0063-J-00070-0000-00|926 MT. LEBANON|1747 HELEN DR|Mt Lebanon|92612|Taxable|6/22/1998|Regular|0|Residential|11536|SINGLE FAMILY|641|Yes|No|No|6,000 SQFT|42000|42000|88000|73000|130000|115000
0063-J-00072-0000-00|926 MT. LEBANON|1743 HELEN DR|Mt Lebanon|92612|Taxable|8/15/1956|Regular|0|Residential||SINGLE FAMILY|0|Yes|No|No|6,140 SQFT|47400|47400|78700|63700|126100|111100
0063-J-00074-0000-00|926 MT. LEBANON|1739 HELEN DR|Mt Lebanon|92612|Taxable|10/13/1978|Regular|1|Residential||SINGLE FAMILY|0|Yes|No|No|6,589 SQFT|47600|47600|82700|67700|130300|115300
0063-J-00076-0000-00|926 MT. LEBANON|1733 HELEN DR|Mt Lebanon|92612|Taxable|1/2/2007|Regular|1|Residential|13105|TWO FAMILY|294|Yes|No|No|8,776 SQFT|49900|49900|96300|81300|146200|131200
0063-J-00080-0000-00|926 MT. LEBANON|1726 HELEN DR|Mt Lebanon|92612|Taxable|11/26/2002|Regular|0|Residential|11514|TWO FAMILY|212|No|No|No|6,600 SQFT|47600|47600|92800|92800|140400|140400
0063-J-00082-0000-00|926 MT. LEBANON|1730 HELEN DR|Mt Lebanon|92612|Taxable|9/1/2009|Regular|170000|Residential|14027|TWO FAMILY|593|Yes|No|No|6,600 SQFT|40500|40500|110000|95000|150500|135500
0063-J-00086-0000-00|926 MT. LEBANON|1718 THEODAN DR|Mt Lebanon|92612|Taxable|7/25/1997|Regular|130000|Residential|9997|SINGLE FAMILY|30|Yes|No|No|6,791 SQFT|38200|38200|106400|91400|144600|129600
0063-J-00088-0000-00|926 MT. LEBANON|1722 THEODAN DR|Mt Lebanon|92612|Taxable|11/13/1990|Regular|60000|Residential|8372|SINGLE FAMILY|479|Yes|No|No|7,652 SQFT|20300|20300|60300|45300|80600|65600
0063-J-00090-0000-00|926 MT. LEBANON|1726 THEODAN DR|Mt Lebanon|92612|Taxable|6/20/2008|Regular|95000|Residential|13647|SINGLE FAMILY|414|No|No|No|14,572 SQFT|58900|58900|88900|88900|147800|147800
